Jürgen Dolesch,SPÖ,Mann
Thomas Grandits,FPÖ,Mann
Thomas Hoffmann,SPÖ,Mann
Mario Jaksch,FPÖ,Mann
Jürgen Karall,SPÖ,Mann
Margit Paul-Kientzl,Grüne,Frau
Bernd Strobl,ÖVP,Mann
Sandro Waldmann,FPÖ,Mann
Michelle Whitfield,FPÖ,Frau
