Nicole Leitner,ÖVP,Frau
Markus Schaflechner ,ÖVP,Mann
Camilla Schwabl,ÖVP,Frau
Andreas Hochwimmer ,FPÖ,Mann
Dominic Maier ,FPÖ,Mann
Rene Sauerschnig,FPÖ,Mann
Anton Zuckerstätter ,FPÖ,Mann
Bettina Brandauer,SPÖ,Frau
Christian Eichinger ,KPÖ,Mann
Natalie Hangöbl,KPÖ,Frau
Eduard Egger,FPÖ,Mann
Martin Zauner ,FPÖ,Mann
Fabienne Lackner,NEOS,Frau
