Schlanders	Q494313
Liste der Baudenkmaeler in Schluderns	Q1764813
Schluderns	Q493790
Liste der Baudenkmaeler in Schnals	Q1833286
Schnals	Q499688
Liste der Baudenkmaeler in Sexten	Q1833383
Sexten	Q256337
Liste der Baudenkmaeler in St. Christina in Groeden	Q1833428
St. Christina in Groeden	Q504253
Liste der Baudenkmaeler in St. Leonhard in Passeier	Q1383640
St. Leonhard in Passeier	Q504149
Liste der Baudenkmaeler in St. Lorenzen (Suedtirol)	Q1833431
St. Lorenzen (Suedtirol)	Q504178
Liste der Baudenkmaeler in St. Martin in Passeier	Q1833432
St. Martin in Passeier	Q504216
Liste der Baudenkmaeler in St. Martin in Thurn	Q1833434
St. Martin in Thurn	Q494793
Liste der Baudenkmaeler in St. Pankraz (Suedtirol)	Q1833435
St. Pankraz (Suedtirol)	Q504234
Liste der Baudenkmaeler in St. Ulrich in Groeden	Q1833437
St. Ulrich in Groeden	Q255568
Liste der Baudenkmaeler in Sterzing	Q1833471
Sterzing	Q263305
Liste der Baudenkmaeler in Stilfs	Q1833474
Stilfs	Q493831
Liste der Baudenkmaeler in Taufers im Muenstertal	Q1498467
Taufers im Muenstertal	Q504554
Liste der Baudenkmaeler in Terenten	Q1833536
Terenten	Q499667
Liste der Baudenkmaeler in Terlan	Q1833534
Terlan	Q494814
Liste der Baudenkmaeler in Tiers	Q1833568
Tiers	Q504491
Liste der Baudenkmaeler in Tirol (Suedtirol)	Q1833570
Tirol (Suedtirol)	Q504179
Liste der Baudenkmaeler in Tisens	Q1795078
Tisens	Q504459
Liste der Baudenkmaeler in Toblach	Q1833576
Toblach	Q380189
Liste der Baudenkmaeler in Tramin	Q1833582
Tramin	Q499114
Liste der Baudenkmaeler in Truden	Q1833593
Truden	Q504524
Liste der Baudenkmaeler in Tscherms	Q1682701
Tscherms	Q377608
Liste der Baudenkmaeler in Ulten	Q1833612
Ulten	Q494050
Liste der Baudenkmaeler in Unsere Liebe Frau im Walde-St. Felix	Q1833617
Unsere Liebe Frau im Walde-St. Felix	Q493810
Liste der Baudenkmaeler in Vahrn	Q1833655
Vahrn	Q504684
Liste der Baudenkmaeler in Villanders	Q1795674
Villanders	Q504736
Liste der Baudenkmaeler in Villnoess	Q1833677
Villnoess	Q261187
Liste der Baudenkmaeler in Vintl	Q1833682
Vintl	Q282382
Liste der Baudenkmaeler in Voels am Schlern	Q1690304
Voels am Schlern	Q381366
Liste der Baudenkmaeler in Voeran	Q1833696
Voeran	Q374771
Liste der Baudenkmaeler in Waidbruck	Q1559470
Waidbruck	Q474145
Liste der Baudenkmaeler in Welsberg-Taisten	Q1833787
Welsberg-Taisten	Q431389
Liste der Baudenkmaeler in Welschnofen	Q1673693
Welschnofen	Q433287
Liste der Baudenkmaeler in Wengen (Suedtirol)	Q1833793
Wengen (Suedtirol)	Q419733
Liste der Baudenkmaeler in Wolkenstein in Groeden	Q1833879
Wolkenstein in Groeden	Q499129
